Ctgry,Itm,Srvng_Sz,Clrs,Clrs_frm_Ft,Ttl_Ft,Ttl_Ft_PrDV,Strtd_Ft,Strtd_Ft_PrDV,Trns_Ft,Chlstrl,Chlstrl_PrDV,Sdm,Sdm_PrDV,Crbhydrts,Crbhydrts_PrDV,Dtry_Fbr,Dtry_Fbr_PrDV,Sgrs,Prtn,Vtmn_A_PrDV,Vtmn_C_PrDV,Clcm_PrDV,Irn_PrDV,Srvng_mag,Srvng_unit,Cnt
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,130,15.0,23,4.5,22,0.0,0.09,30,1.23,51,43,14,3,13,9,36,4,20,15,20,217.0,g,1
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,340,38.0,59,10.0,51,0.5,0.09,31,1.72,72,65,22,4,15,16,36,8,25,30,15,284.0,g,1
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,230,25.0,39,8.0,42,0.0,0.11,37,1.56,65,51,17,4,15,14,40,8,30,30,15,270.0,g,1
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,170,19.0,29,3.0,15,0.0,0.045,14,0.91,38,43,14,2,7,7,21,4,2,15,15,160.0,g,1
Chicken & Fish,McChicken,5.1 oz (143 g),360,140,16.0,25,3.0,15,0.0,0.035,11,0.8,33,40,13,2,7,5,14,0,2,10,15,143.0,g,1
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,220,24.0,38,7.0,35,0.0,0.065,21,1.26,53,43,14,2,8,6,22,4,10,20,15,171.0,g,1
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,190,21.0,32,5.0,25,0.0,0.05,17,1.26,53,41,14,2,7,6,20,2,10,15,15,161.0,g,1
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360,150,16.0,25,3.0,16,0.0,0.035,11,0.99,41,40,13,2,7,5,14,2,2,15,15,148.0,g,1
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,280,32.0,49,9.0,45,0.5,0.08,26,1.54,64,56,19,3,13,7,32,60,20,20,20,316.0,g,1
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,170,19.0,28,7.0,36,0.0,0.095,32,1.37,57,42,14,3,13,6,36,60,25,20,20,302.0,g,1
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,280,31.0,47,8.0,40,0.5,0.065,21,1.34,56,56,19,3,14,8,27,60,15,20,20,310.0,g,1
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,160,18.0,27,6.0,31,0.5,0.08,27,1.17,49,42,14,3,14,6,30,60,15,15,20,297.0,g,1
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670,300,33.0,51,8.0,40,0.5,0.06,21,1.48,62,68,23,5,19,12,27,60,15,20,20,314.0,g,1
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520,180,20.0,31,6.0,32,0.0,0.08,27,1.32,55,55,18,5,20,10,31,70,15,20,20,318.0,g,1
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540,200,23.0,35,4.5,23,0.0,0.05,16,1.26,52,61,20,3,13,14,23,60,15,8,20,304.0,g,1
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,90,10.0,15,3.0,14,0.0,0.065,22,1.09,45,47,16,3,13,12,27,60,15,8,20,291.0,g,1
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190,110,12.0,18,2.0,10,0.0,0.025,9,0.36,15,12,4,1,2,0,9,0,2,0,2,65.0,g,1
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280,160,18.0,27,3.0,15,0.0,0.04,13,0.54,22,18,6,1,4,0,13,0,2,2,4,97.0,g,1
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470,270,30.0,45,5.0,25,0.0,0.065,22,0.9,37,30,10,2,6,0,22,0,4,2,6,162.0,g,1
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),940,530,59.0,91,10.0,50,0.0,0.135,44,1.8,75,59,20,3,12,0,44,0,8,4,10,323.0,g,1
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),1880,1060,118.0,182,20.0,101,1.0,0.265,89,3.6,150,118,39,6,24,1,87,0,15,8,25,646.0,g,1
Chicken & Fish,Filet-O-Fish,5 oz (142 g),390,170,19.0,29,4.0,19,0.0,0.04,14,0.59,24,39,13,2,7,5,15,2,0,15,10,142.0,g,1
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140,70,7.0,11,3.5,18,0.0,0.025,9,0.3,13,10,3,3,12,4,9,170,30,15,6,223.0,g,1
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,190,21.0,33,6.0,29,0.0,0.07,23,0.86,36,22,7,2,10,5,25,100,25,15,8,255.0,g,1
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,80,8.0,13,4.0,20,0.0,0.085,29,0.69,29,8,3,2,10,4,29,110,30,15,8,241.0,g,1
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),140,40,4.5,7,2.0,9,0.0,0.01,3,0.15,6,20,7,6,23,6,6,160,25,15,10,230.0,g,1
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450,190,22.0,33,4.5,22,0.0,0.05,17,0.85,35,42,14,7,28,12,23,170,30,15,15,348.0,g,1
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290,80,8.0,13,2.5,13,0.0,0.07,23,0.68,28,28,9,7,28,10,27,170,30,15,15,335.0,g,1
