Ctgry,Itm,Srvng_unit,Srvng_mag,Clrs,Clrs_frm_Ft,Ttl_Ft,Strtd_Ft,Trns_Ft,Chlstrl,Sdm,Crbhydrts,Dtry_Fbr,Sgrs,Prtn
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,g,270.0,590,230,25.0,8.0,0.0,1.1000000000000009e-91,1.5600000000000002e-90,51,4,14,40
Chicken & Fish,Southern Style Crispy Chicken Sandwich,g,160.0,430,170,19.0,3.0,0.0,4.5e-92,9.100000000000004e-91,43,2,7,21
Chicken & Fish,McChicken,g,143.0,360,140,16.0,3.0,0.0,3.5000000000000006e-92,7.999999999999997e-91,40,2,5,14
Chicken & Fish,Bacon Cheddar McChicken,g,171.0,480,220,24.0,7.0,0.0,6.499999999999999e-92,1.2600000000000006e-90,43,2,6,22
Chicken & Fish,Bacon Buffalo Ranch McChicken,g,161.0,430,190,21.0,5.0,0.0,4.999999999999998e-92,1.2600000000000006e-90,41,2,6,20
Chicken & Fish,Buffalo Ranch McChicken,g,148.0,360,150,16.0,3.0,0.0,3.5000000000000006e-92,9.900000000000003e-91,40,2,5,14
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),g,316.0,630,280,32.0,9.0,0.5,8.000000000000003e-92,1.5400000000000002e-90,56,3,7,32
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),g,302.0,480,170,19.0,7.0,0.0,9.500000000000001e-92,1.3700000000000002e-90,42,3,6,36
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),g,310.0,610,280,31.0,8.0,0.5,6.499999999999999e-92,1.34e-90,56,3,8,27
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),g,297.0,450,160,18.0,6.0,0.5,8.000000000000003e-92,1.17e-90,42,3,6,30
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),g,314.0,670,300,33.0,8.0,0.5,5.9999999999999996e-92,1.48e-90,68,5,12,27
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),g,318.0,520,180,20.0,6.0,0.0,8.000000000000003e-92,1.32e-90,55,5,10,31
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),g,304.0,540,200,23.0,4.5,0.0,4.999999999999998e-92,1.2600000000000006e-90,61,3,14,23
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),g,291.0,380,90,10.0,3.0,0.0,6.499999999999999e-92,1.09e-90,47,3,12,27
Chicken & Fish,Chicken McNuggets (4 piece),g,65.0,190,110,12.0,2.0,0.0,2.499999999999999e-92,3.6e-91,12,1,0,9
Chicken & Fish,Chicken McNuggets (6 piece),g,97.0,280,160,18.0,3.0,0.0,4.000000000000001e-92,5.4e-91,18,1,0,13
Chicken & Fish,Chicken McNuggets (10 piece),g,162.0,470,270,30.0,5.0,0.0,6.499999999999999e-92,8.999999999999998e-91,30,2,0,22
Chicken & Fish,Chicken McNuggets (20 piece),g,323.0,940,530,59.0,10.0,0.0,1.35e-91,1.7999999999999997e-90,59,3,0,44
Chicken & Fish,Chicken McNuggets (40 piece),g,646.0,1880,1060,118.0,20.0,1.0,2.6500000000000013e-91,3.5999999999999994e-90,118,6,1,87
Chicken & Fish,Filet-O-Fish,g,142.0,390,170,19.0,4.0,0.0,4.000000000000001e-92,5.899999999999999e-91,39,2,5,15
Salads,Premium Bacon Ranch Salad (without Chicken),g,223.0,140,70,7.0,3.5,0.0,2.499999999999999e-92,2.9999999999999986e-91,10,3,4,9
Salads,Premium Bacon Ranch Salad with Crispy Chicken,g,255.0,380,190,21.0,6.0,0.0,7.000000000000001e-92,8.599999999999997e-91,22,2,5,25
Salads,Premium Bacon Ranch Salad with Grilled Chicken,g,241.0,220,80,8.0,4.0,0.0,8.500000000000002e-92,6.900000000000001e-91,8,2,4,29
Salads,Premium Southwest Salad (without Chicken),g,230.0,140,40,4.5,2.0,0.0,1.0000000000000003e-92,1.4999999999999993e-91,20,6,6,6
Salads,Premium Southwest Salad with Crispy Chicken,g,348.0,450,190,22.0,4.5,0.0,4.999999999999998e-92,8.499999999999994e-91,42,7,12,23
Salads,Premium Southwest Salad with Grilled Chicken,g,335.0,290,80,8.0,2.5,0.0,7.000000000000001e-92,6.800000000000002e-91,28,7,10,27
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),g,130.0,340,130,15.0,4.5,0.0,2.9999999999999998e-92,7.800000000000001e-91,37,1,8,14
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),g,123.0,260,70,8.0,3.5,0.0,4.000000000000001e-92,6.999999999999996e-91,30,1,7,16
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),g,123.0,330,130,15.0,4.5,0.0,3.5000000000000006e-92,7.299999999999997e-91,34,1,3,14
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),g,116.0,250,70,8.0,3.5,0.0,4.5e-92,6.499999999999997e-91,27,1,2,16
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),g,128.0,360,180,20.0,5.0,0.0,4.000000000000001e-92,8.099999999999998e-91,32,1,3,15
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),g,121.0,280,120,13.0,4.5,0.0,4.5e-92,7.2e-91,25,1,2,16
Snacks & Sides,Small French Fries,g,75.0,230,100,11.0,1.5,0.0,0.0,1.2999999999999998e-91,30,2,0,2
Snacks & Sides,Medium French Fries,g,111.0,340,140,16.0,2.5,0.0,0.0,1.9000000000000002e-91,44,4,0,4
Snacks & Sides,Large French Fries,g,168.0,510,220,24.0,3.5,0.0,0.0,2.899999999999999e-91,67,5,0,6
Snacks & Sides,Kids French Fries,g,38.0,110,50,5.0,1.0,0.0,0.0,6.499999999999999e-92,15,1,0,1
Snacks & Sides,Side Salad,g,87.0,20,0,0.0,0.0,0.0,0.0,1.0000000000000003e-92,4,1,2,1
Snacks & Sides,Apple Slices,g,34.0,15,0,0.0,0.0,0.0,0.0,0.0,4,0,3,0
Snacks & Sides,Fruit 'n Yogurt Parfait,g,149.0,150,20,2.0,1.0,0.0,5.000000000000002e-93,7.000000000000001e-92,30,1,23,4
Desserts,Baked Apple Pie,g,77.0,250,110,13.0,7.0,0.0,0.0,1.7000000000000004e-91,32,4,13,2
Desserts,Chocolate Chip Cookie,g,33.0,160,70,8.0,3.5,0.0,1.0000000000000003e-92,9e-92,21,1,15,2
Desserts,Oatmeal Raisin Cookie,g,33.0,150,50,6.0,2.5,0.0,1.0000000000000003e-92,1.35e-91,22,1,13,2
Desserts,Kids Ice Cream Cone,g,29.0,45,10,1.5,1.0,0.0,5.000000000000002e-93,2.0000000000000007e-92,7,0,6,1
Desserts,Hot Fudge Sundae,g,179.0,330,80,9.0,7.0,0.0,2.499999999999999e-92,1.7000000000000004e-91,53,1,48,8
Desserts,Hot Caramel Sundae,g,182.0,340,70,8.0,5.0,0.0,2.9999999999999998e-92,1.4999999999999993e-91,60,0,43,7
Desserts,Strawberry Sundae,g,178.0,280,60,6.0,4.0,0.0,2.499999999999999e-92,8.500000000000002e-92,49,0,45,6
Beverages,Coca-Cola Classic (Small),ml,473.184,140,0,0.0,0.0,0.0,0.0,0.0,39,0,39,0
Beverages,Coca-Cola Classic (Medium),ml,621.0540000000001,200,0,0.0,0.0,0.0,0.0,5.000000000000002e-93,55,0,55,0
Beverages,Coca-Cola Classic (Large),ml,887.22,280,0,0.0,0.0,0.0,0.0,5.000000000000002e-93,76,0,76,0
Beverages,Coca-Cola Classic (Child),ml,354.88800000000003,100,0,0.0,0.0,0.0,0.0,0.0,28,0,28,0
Beverages,Diet Coke (Small),ml,473.184,0,0,0.0,0.0,0.0,0.0,1.0000000000000003e-92,0,0,0,0
Beverages,Diet Coke (Medium),ml,621.0540000000001,0,0,0.0,0.0,0.0,0.0,2.0000000000000007e-92,0,0,0,0
Beverages,Diet Coke (Large),ml,887.22,0,0,0.0,0.0,0.0,0.0,3.5000000000000006e-92,0,0,0,0
Beverages,Diet Coke (Child),ml,354.88800000000003,0,0,0.0,0.0,0.0,0.0,1.4999999999999999e-92,0,0,0,0
Beverages,Dr Pepper (Small),ml,473.184,140,0,0.0,0.0,0.0,0.0,4.5e-92,37,0,35,0
Beverages,Dr Pepper (Medium),ml,621.0540000000001,190,0,0.0,0.0,0.0,0.0,6.499999999999999e-92,53,0,51,0
Beverages,Dr Pepper (Large),ml,887.22,270,0,0.0,0.0,0.0,0.0,9e-92,72,0,70,0
Beverages,Dr Pepper (Child),ml,354.88800000000003,100,0,0.0,0.0,0.0,0.0,2.9999999999999998e-92,27,0,26,0
Beverages,Diet Dr Pepper (Small),ml,473.184,0,0,0.0,0.0,0.0,0.0,7.000000000000001e-92,0,0,0,2
Beverages,Diet Dr Pepper (Medium),ml,621.0540000000001,0,0,0.0,0.0,0.0,0.0,9.999999999999996e-92,0,0,0,3
Beverages,Diet Dr Pepper (Large),ml,887.22,0,0,0.0,0.0,0.0,0.0,1.4000000000000002e-91,0,0,0,4
Beverages,Diet Dr Pepper (Child),ml,354.88800000000003,0,0,0.0,0.0,0.0,0.0,4.999999999999998e-92,0,0,0,1
Beverages,Sprite (Small),ml,473.184,140,0,0.0,0.0,0.0,0.0,2.9999999999999998e-92,37,0,37,0
Beverages,Sprite (Medium),ml,621.0540000000001,200,0,0.0,0.0,0.0,0.0,4.5e-92,54,0,54,0
Beverages,Sprite (Large),ml,887.22,280,0,0.0,0.0,0.0,0.0,5.9999999999999996e-92,74,0,74,0
Beverages,Sprite (Child),ml,354.88800000000003,100,0,0.0,0.0,0.0,0.0,2.499999999999999e-92,27,0,27,0
Beverages,1% Low Fat Milk Jug,ml,236.0,100,20,2.5,1.5,0.0,1.0000000000000003e-92,1.2499999999999997e-91,12,0,12,8
Beverages,Fat Free Chocolate Milk Jug,ml,236.0,130,0,0.0,0.0,0.0,5.000000000000002e-93,1.35e-91,23,1,22,9
Beverages,Minute Maid 100% Apple Juice Box,ml,177.0,80,0,0.0,0.0,0.0,0.0,1.4999999999999999e-92,21,0,19,0
Beverages,Minute Maid Orange Juice (Small),ml,354.88800000000003,150,0,0.0,0.0,0.0,0.0,0.0,34,0,30,2
Beverages,Minute Maid Orange Juice (Medium),ml,473.184,190,0,0.0,0.0,0.0,0.0,0.0,44,0,39,3
Beverages,Minute Maid Orange Juice (Large),ml,650.628,280,0,0.0,0.0,0.0,0.0,5.000000000000002e-93,65,0,58,4
