Ctgry,Itm,Srvng_unit,Srvng_mag,Ttl_Ft_PrDV,Strtd_Ft_PrDV,Chlstrl_PrDV,Sdm_PrDV,Crbhydrts_PrDV,Dtry_Fbr_PrDV,Vtmn_A_PrDV,Vtmn_C_PrDV,Clcm_PrDV,Irn_PrDV
Coffee & Tea,Coffee (Large),ml,473.184,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Latte (Small),ml,354.88800000000003,13,24,9,5,5,3,8,0,30,0
Coffee & Tea,Latte (Medium),ml,473.184,16,30,11,6,6,4,10,0,35,0
Coffee & Tea,Latte (Large),ml,591.48,21,39,14,8,8,6,15,0,50,2
Coffee & Tea,Caramel Latte (Small),ml,354.88800000000003,13,24,9,5,13,3,8,0,30,0
Coffee & Tea,Caramel Latte (Medium),ml,473.184,16,30,11,6,17,4,10,0,35,0
Coffee & Tea,Caramel Latte (Large),ml,591.48,21,39,14,8,21,6,15,0,50,2
Coffee & Tea,Hazelnut Latte (Small),ml,354.88800000000003,13,24,9,5,13,3,8,0,30,0
Coffee & Tea,Hazelnut Latte (Medium),ml,473.184,16,30,11,6,17,4,10,0,35,0
Coffee & Tea,Hazelnut Latte (Large),ml,591.48,21,39,14,8,21,6,15,0,50,2
Coffee & Tea,French Vanilla Latte (Small),ml,354.88800000000003,13,24,9,5,13,3,8,0,30,0
Coffee & Tea,French Vanilla Latte (Medium),ml,473.184,16,30,11,6,16,4,10,0,35,2
Coffee & Tea,French Vanilla Latte (Large),ml,591.48,21,39,14,8,20,6,15,0,50,2
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),ml,354.88800000000003,13,24,9,6,8,4,8,0,30,0
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),ml,473.184,16,30,11,8,10,5,10,0,35,0
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),ml,591.48,21,39,14,10,12,7,15,0,50,2
Coffee & Tea,Nonfat Latte (Small),ml,354.88800000000003,0,0,2,5,5,3,10,0,30,0
Coffee & Tea,Nonfat Latte (Medium),ml,473.184,0,0,2,6,6,4,15,0,40,0
Coffee & Tea,Nonfat Latte (Large),ml,591.48,1,0,3,7,8,6,15,0,50,2
Coffee & Tea,Nonfat Caramel Latte (Small),ml,354.88800000000003,0,0,2,5,14,3,10,0,30,0
Coffee & Tea,Nonfat Caramel Latte (Medium),ml,473.184,0,0,2,6,17,4,15,0,40,0
Coffee & Tea,Nonfat Caramel Latte (Large),ml,591.48,1,0,3,7,21,6,15,0,50,2
Coffee & Tea,Nonfat Hazelnut Latte (Small),ml,354.88800000000003,0,0,2,5,13,3,10,0,30,0
Coffee & Tea,Nonfat Hazelnut Latte (Medium),ml,473.184,0,0,2,6,17,4,15,0,40,0
Coffee & Tea,Nonfat Hazelnut Latte (Large),ml,591.48,1,0,3,7,21,6,15,0,50,2
Coffee & Tea,Nonfat French Vanilla Latte (Small),ml,354.88800000000003,0,0,2,5,13,3,10,0,30,0
Coffee & Tea,Nonfat French Vanilla Latte (Medium),ml,473.184,0,0,2,6,16,4,15,0,40,2
Coffee & Tea,Nonfat French Vanilla Latte (Large),ml,591.48,1,0,3,8,20,6,15,0,50,2
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),ml,354.88800000000003,0,0,2,6,8,4,10,0,30,0
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),ml,473.184,0,0,2,8,10,5,15,0,40,0
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),ml,591.48,1,0,3,10,13,7,15,0,50,2
Coffee & Tea,Mocha (Small),ml,354.88800000000003,18,34,12,6,16,6,10,0,30,6
Coffee & Tea,Mocha (Medium),ml,473.184,21,40,14,8,20,8,10,0,40,6
Coffee & Tea,Mocha (Large),ml,591.48,26,49,17,10,24,10,15,0,50,8
Coffee & Tea,Mocha with Nonfat Milk (Small),ml,354.88800000000003,5,11,5,6,16,6,10,0,35,6
Coffee & Tea,Mocha with Nonfat Milk (Medium),ml,473.184,6,11,5,8,20,8,15,0,40,6
Coffee & Tea,Mocha with Nonfat Milk (Large),ml,591.48,6,12,6,10,24,10,20,0,50,8
Coffee & Tea,Caramel Mocha (Small),ml,354.88800000000003,17,33,12,7,15,3,10,0,30,2
Coffee & Tea,Caramel Mocha (Medium),ml,473.184,21,40,14,9,18,4,15,0,40,2
Coffee & Tea,Caramel Mocha (Large),ml,591.48,26,49,17,11,22,5,15,0,50,4
Coffee & Tea,Nonfat Caramel Mocha (Small),ml,354.88800000000003,5,10,5,7,15,3,10,0,35,2
Coffee & Tea,Nonfat Caramel Mocha (Medium),ml,473.184,5,11,5,9,19,4,15,0,40,2
Coffee & Tea,Nonfat Caramel Mocha (Large),ml,591.48,6,11,6,11,22,5,20,0,50,4
Coffee & Tea,Hot Chocolate (Small),ml,354.88800000000003,21,39,14,8,17,3,10,0,40,6
Coffee & Tea,Hot Chocolate (Medium),ml,473.184,25,47,16,9,20,4,15,0,45,6
Coffee & Tea,Hot Chocolate (Large),ml,591.48,31,58,20,12,24,5,20,0,60,8
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),ml,354.88800000000003,5,11,5,7,17,3,15,0,40,6
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),ml,473.184,5,11,6,9,20,4,20,0,50,6
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),ml,591.48,6,12,7,12,25,5,25,0,60,8
Coffee & Tea,Regular Iced Coffee (Small),ml,473.184,7,15,6,1,8,0,4,0,4,0
Coffee & Tea,Regular Iced Coffee (Medium),ml,650.628,11,22,9,2,10,0,4,0,4,0
Coffee & Tea,Regular Iced Coffee (Large),ml,946.368,14,29,12,3,16,0,6,0,8,0
Coffee & Tea,Caramel Iced Coffee (Small),ml,473.184,7,15,6,2,7,0,4,0,4,0
Coffee & Tea,Caramel Iced Coffee (Medium),ml,650.628,11,22,9,2,10,0,4,0,4,0
Coffee & Tea,Caramel Iced Coffee (Large),ml,946.368,14,29,12,3,14,0,6,0,6,0
Coffee & Tea,Hazelnut Iced Coffee (Small),ml,473.184,7,15,6,1,7,0,4,0,4,0
Coffee & Tea,Hazelnut Iced Coffee (Medium),ml,650.628,11,22,9,2,10,0,4,0,4,0
Coffee & Tea,Hazelnut Iced Coffee (Large),ml,946.368,14,29,12,3,14,0,6,0,8,0
Coffee & Tea,French Vanilla Iced Coffee (Small),ml,473.184,7,15,6,2,7,0,4,0,4,0
Coffee & Tea,French Vanilla Iced Coffee (Medium),ml,650.628,11,22,9,2,9,0,4,0,4,0
Coffee & Tea,French Vanilla Iced Coffee (Large),ml,946.368,14,29,12,3,14,0,6,0,8,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),ml,473.184,7,15,6,3,3,0,4,0,4,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),ml,650.628,11,22,9,4,4,0,4,0,4,0
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),ml,946.368,14,29,12,6,6,0,6,0,8,0
Coffee & Tea,Iced Mocha (Small),ml,354.88800000000003,17,33,12,5,14,4,10,0,25,4
Coffee & Tea,Iced Mocha (Medium),ml,473.184,19,38,13,6,17,5,10,0,30,6
Coffee & Tea,Iced Mocha (Large),ml,650.628,25,49,17,9,23,8,15,0,40,8
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),ml,354.88800000000003,8,16,7,5,14,4,10,0,25,4
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),ml,473.184,8,17,7,6,17,5,15,0,30,6
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),ml,650.628,9,18,8,9,24,8,20,0,45,8
Coffee & Tea,Iced Caramel Mocha (Small),ml,354.88800000000003,17,33,12,6,13,0,10,0,25,2
Coffee & Tea,Iced Caramel Mocha (Medium),ml,473.184,19,37,13,7,15,2,10,0,30,2
Coffee & Tea,Iced Caramel Mocha (Large),ml,650.628,25,48,17,10,22,3,15,0,40,4
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),ml,354.88800000000003,8,16,7,6,13,0,10,0,25,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),ml,473.184,8,16,7,7,16,2,15,0,30,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),ml,650.628,8,17,8,10,22,3,20,0,45,4
Coffee & Tea,Frappé Mocha (Small),ml,354.88800000000003,28,59,21,5,22,3,15,0,20,4
Coffee & Tea,Frappé Mocha (Medium),ml,473.184,34,71,25,7,27,4,15,0,25,4
Coffee & Tea,Frappé Mocha (Large),ml,650.628,41,85,30,8,33,4,20,0,35,4
Coffee & Tea,Frappé Caramel (Small),ml,354.88800000000003,29,60,22,5,21,0,15,0,25,2
Coffee & Tea,Frappé Caramel (Medium),ml,473.184,35,73,27,7,26,0,20,0,30,2
Coffee & Tea,Frappé Caramel (Large),ml,650.628,42,87,32,8,32,0,20,0,35,2
Coffee & Tea,Frappé Chocolate Chip (Small),ml,354.88800000000003,35,72,22,6,25,5,15,0,25,4
Coffee & Tea,Frappé Chocolate Chip (Medium),ml,473.184,41,85,26,7,30,5,15,0,30,4
Coffee & Tea,Frappé Chocolate Chip (Large),ml,650.628,48,101,32,8,37,5,20,0,35,6
